,Station_id, Avg June Temp,Date
340,USC00513117,74.0,2013-06-15
341,USC00513117,74.0,2013-06-16
342,USC00513117,74.0,2013-06-17
343,USC00513117,74.0,2013-06-18
344,USC00513117,74.0,2013-06-19
345,USC00513117,72.0,2013-06-20
346,USC00513117,70.0,2013-06-21
347,USC00513117,75.0,2013-06-22
348,USC00513117,74.0,2013-06-23
349,USC00513117,71.0,2013-06-24
350,USC00513117,71.0,2013-06-25
351,USC00513117,70.0,2013-06-26
352,USC00513117,73.0,2013-06-27
353,USC00513117,71.0,2013-06-28
354,USC00513117,71.0,2013-06-29
355,USC00513117,77.0,2013-06-30
356,USC00513117,77.0,2014-06-01
357,USC00513117,74.0,2014-06-02
358,USC00513117,73.0,2014-06-03
359,USC00513117,75.0,2014-06-04
360,USC00513117,75.0,2014-06-05
361,USC00513117,74.0,2014-06-06
362,USC00513117,74.0,2014-06-07
363,USC00513117,75.0,2014-06-08
364,USC00513117,75.0,2014-06-09
365,USC00513117,72.0,2014-06-10
366,USC00513117,74.0,2014-06-11
367,USC00513117,76.0,2014-06-12
368,USC00513117,76.0,2014-06-13
369,USC00513117,75.0,2014-06-14
370,USC00513117,75.0,2014-06-15
371,USC00513117,74.0,2014-06-16
372,USC00513117,72.0,2014-06-17
373,USC00513117,74.0,2014-06-18
374,USC00513117,75.0,2014-06-19
375,USC00513117,70.0,2014-06-20
376,USC00513117,71.0,2014-06-21
377,USC00513117,72.0,2014-06-22
378,USC00513117,71.0,2014-06-23
379,USC00513117,73.0,2014-06-24
380,USC00513117,74.0,2014-06-25
381,USC00513117,72.0,2014-06-26
382,USC00513117,74.0,2014-06-27
383,USC00513117,76.0,2014-06-28
384,USC00513117,72.0,2014-06-29
385,USC00513117,75.0,2014-06-30
386,USC00513117,75.0,2015-06-03
387,USC00513117,72.0,2015-06-04
388,USC00513117,70.0,2015-06-05
389,USC00513117,76.0,2015-06-06
390,USC00513117,78.0,2015-06-07
391,USC00513117,72.0,2015-06-08
392,USC00513117,74.0,2015-06-09
393,USC00513117,74.0,2015-06-10
394,USC00513117,72.0,2015-06-11
395,USC00513117,71.0,2015-06-12
396,USC00513117,79.0,2015-06-13
397,USC00513117,79.0,2015-06-14
398,USC00513117,76.0,2015-06-15
399,USC00513117,75.0,2015-06-16
400,USC00513117,72.0,2015-06-17
401,USC00513117,74.0,2015-06-18
402,USC00513117,76.0,2015-06-19
403,USC00513117,76.0,2015-06-20
404,USC00513117,77.0,2015-06-21
405,USC00513117,75.0,2015-06-22
406,USC00513117,76.0,2015-06-23
407,USC00513117,75.0,2015-06-24
408,USC00513117,75.0,2015-06-25
409,USC00513117,76.0,2015-06-26
410,USC00513117,76.0,2015-06-27
411,USC00513117,74.0,2015-06-29
412,USC00513117,70.0,2016-06-01
413,USC00513117,69.0,2016-06-02
414,USC00513117,70.0,2016-06-03
415,USC00513117,68.0,2016-06-04
416,USC00513117,70.0,2016-06-05
417,USC00513117,74.0,2016-06-06
418,USC00513117,75.0,2016-06-07
419,USC00513117,74.0,2016-06-08
420,USC00513117,71.0,2016-06-09
421,USC00513117,73.0,2016-06-10
422,USC00513117,75.0,2016-06-11
423,USC00513117,74.0,2016-06-12
424,USC00513117,76.0,2016-06-13
425,USC00513117,76.0,2016-06-14
426,USC00513117,76.0,2016-06-15
427,USC00513117,76.0,2016-06-16
428,USC00513117,75.0,2016-06-17
429,USC00513117,75.0,2016-06-18
430,USC00513117,75.0,2016-06-19
431,USC00513117,74.0,2016-06-20
432,USC00513117,73.0,2016-06-21
433,USC00513117,76.0,2016-06-22
434,USC00513117,74.0,2016-06-23
435,USC00513117,78.0,2016-06-24
436,USC00513117,71.0,2016-06-25
437,USC00513117,75.0,2016-06-26
438,USC00513117,75.0,2016-06-27
439,USC00513117,74.0,2016-06-28
440,USC00513117,77.0,2016-06-29
441,USC00513117,77.0,2016-06-30
442,USC00513117,76.0,2017-06-01
443,USC00513117,76.0,2017-06-02
444,USC00513117,76.0,2017-06-03
445,USC00513117,78.0,2017-06-04
446,USC00513117,76.0,2017-06-05
447,USC00513117,75.0,2017-06-06
448,USC00513117,75.0,2017-06-07
449,USC00513117,76.0,2017-06-08
450,USC00513117,78.0,2017-06-09
451,USC00513117,75.0,2017-06-10
452,USC00513117,73.0,2017-06-11
453,USC00513117,76.0,2017-06-12
454,USC00513117,76.0,2017-06-13
455,USC00513117,76.0,2017-06-14
